Date,Open,High,Low,Close,Adj Close,Volume
2021-03-19,239.630005,243.149994,237.130005,241.279999,241.279999,10555100
2021-03-22,242.029999,246.949997,240.850006,244.384995,244.384995,5790200
2021-03-23,245.550003,246.839996,242.250000,243.770004,243.770004,5093200
2021-03-24,244.490005,244.970001,233.759995,234.270004,234.270004,6097300
2021-03-25,232.630005,235.339996,227.520004,234.240005,234.240005,8846600
2021-03-26,233.619003,241.309998,232.300003,241.029999,241.029999,8217600
2021-03-29,241.580002,243.199997,233.610001,235.669998,235.669998,7510900
2021-03-30,236.880005,238.360001,232.630005,236.539993,236.539993,6242000
2021-03-31,238.110001,245.229996,237.270004,242.839996,242.839996,7633400
2021-04-01,248.039993,252.649002,246.039993,247.539993,247.539993,6990100
2021-04-05,250.509995,251.759995,245.699997,251.020004,251.020004,5744400
2021-04-06,251.649994,255.000000,249.500000,253.190002,253.190002,5580400
2021-04-07,253.074997,259.220001,251.070007,255.600006,255.600006,7243200
2021-04-08,260.160004,265.000000,258.170013,264.500000,264.500000,9059100
2021-04-09,262.980011,266.940002,261.380005,266.769989,266.769989,6689700
2021-04-12,265.390015,270.329987,262.589996,269.029999,269.029999,6681200
2021-04-13,271.266998,276.869995,271.000000,275.429993,275.429993,7284400
2021-04-14,275.839996,277.859985,266.200012,267.209991,267.209991,8507200
2021-04-15,271.359985,276.119995,270.160004,274.000000,274.000000,7542800
2021-04-16,273.160004,274.149994,268.589996,269.869995,269.869995,6061600
2021-04-19,267.130005,268.500000,263.899994,267.910004,267.910004,5258200
2021-04-20,269.619995,272.579987,262.239990,264.429993,264.429993,6208400
2021-04-21,261.410004,266.000000,259.269989,264.890015,264.890015,4669100
2021-04-22,265.130005,268.160004,259.399994,262.269989,262.269989,5983200
2021-04-23,260.970001,267.790009,260.970001,266.029999,266.029999,6297500
2021-04-26,266.660004,271.750000,265.920013,271.720001,271.720001,5327800
2021-04-27,272.049988,273.820007,268.029999,268.820007,268.820007,4296200
2021-04-28,268.757996,275.250000,267.170013,271.089996,271.089996,5530300
2021-04-29,273.260010,273.869995,263.529999,267.850006,267.850006,5663700
2021-04-30,265.000000,266.149994,261.600006,262.290009,262.290009,6594500
2021-05-03,265.059998,265.799988,256.179993,259.089996,259.089996,7522000
2021-05-04,255.729996,256.799988,246.649994,250.160004,250.160004,9217300
2021-05-05,254.919998,254.919998,246.244995,247.399994,247.399994,9507300
2021-05-06,256.000000,256.308990,245.110001,252.020004,252.020004,17998700
2021-05-07,255.919998,258.640015,251.639999,253.360001,253.360001,10170000
2021-05-10,252.014999,252.410004,243.449997,243.630005,243.630005,8909200
2021-05-11,235.000000,250.554993,233.610001,248.600006,248.600006,9258200
2021-05-12,240.589005,246.500000,238.820007,239.910004,239.910004,8649800
2021-05-13,241.919998,245.679993,237.800003,240.800003,240.800003,7274000
2021-05-14,244.018997,247.119995,242.270004,246.289993,246.289993,6729700
2021-05-17,245.149994,246.240005,240.600006,244.360001,244.360001,5185100
2021-05-18,243.500000,247.434998,242.654999,243.210007,243.210007,4726800
2021-05-19,235.860001,245.339996,235.110001,244.630005,244.630005,7210500
2021-05-20,246.990005,252.929993,245.350006,251.539993,251.539993,8112900
2021-05-21,253.800995,255.210007,250.410004,250.690002,250.690002,6842200
2021-05-24,254.130005,257.600006,252.429993,257.170013,257.170013,6370100
2021-05-25,258.500000,260.369995,257.279999,258.649994,258.649994,6048100
2021-05-26,259.779999,262.320007,259.160004,261.369995,261.369995,5405300
2021-05-27,259.859985,260.640015,256.279999,259.470001,259.470001,7051200
2021-05-28,261.070007,263.149994,259.869995,260.019989,260.019989,4281800
2021-06-01,261.079987,263.420013,256.519989,259.269989,259.269989,5869600
2021-06-02,260.480011,264.779999,259.579987,262.170013,262.170013,6801800
2021-06-03,258.399994,260.980011,256.149994,257.790009,257.790009,4947100
2021-06-04,259.514008,263.459991,259.149994,263.040009,263.040009,4086100
2021-06-07,262.480011,262.940002,260.190002,260.600006,260.600006,3979800
2021-06-08,261.574005,264.549988,260.565002,263.149994,263.149994,4427000
2021-06-09,265.000000,268.199005,263.260010,263.600006,263.600006,4653000
2021-06-10,263.070007,269.649994,261.690002,269.470001,269.470001,6055700
2021-06-11,268.750000,271.899994,268.399994,271.450012,271.450012,4494600
2021-06-14,271.899994,274.970001,270.600006,274.929993,274.929993,5174200
2021-06-15,274.730011,274.730011,270.679993,271.890015,271.890015,5371100
2021-06-16,271.450012,275.160004,265.309998,268.820007,268.820007,6874600
2021-06-17,268.500000,279.372009,268.459991,278.109985,278.109985,8071100
2021-06-18,275.299988,286.380005,274.859985,283.380005,283.380005,14713400
2021-06-21,283.278992,284.304993,276.725006,283.100006,283.100006,7287800
2021-06-22,281.700012,287.459991,280.220001,286.750000,286.750000,6049400
2021-06-23,285.940002,288.549988,284.779999,288.119995,288.119995,4966700
2021-06-24,290.179993,296.010010,289.640015,293.209991,293.209991,7160300
2021-06-25,292.600006,292.869995,287.799988,289.600006,289.600006,6616900
2021-06-28,290.850006,294.260010,289.779999,293.649994,293.649994,5058600
2021-06-29,292.970001,295.179993,291.529999,292.760010,292.760010,4333200
2021-06-30,291.529999,292.700012,289.510010,291.480011,291.480011,4236000
2021-07-01,290.329987,291.899994,285.760010,289.000000,289.000000,5647400
2021-07-02,290.940002,292.429993,288.920013,290.239990,290.239990,4169400
2021-07-06,290.035004,294.526001,289.519989,292.640015,292.640015,5043500
2021-07-07,294.899994,299.308990,291.910004,297.130005,297.130005,6713900
2021-07-08,292.100006,295.864990,289.459991,295.049988,295.049988,5912000
2021-07-09,296.410004,300.829987,295.000000,300.209991,300.209991,5543300
2021-07-12,302.369995,303.500000,298.559998,302.970001,302.970001,5456000
2021-07-13,302.190002,307.820007,298.750000,301.190002,301.190002,7235000
2021-07-14,303.010010,304.809998,299.329987,300.750000,300.750000,4848200
2021-07-15,300.859985,301.179993,294.140015,296.510010,296.510010,4943500
2021-07-16,297.230011,298.750000,294.440002,294.630005,294.630005,4268900
2021-07-19,292.350006,295.069000,288.809998,294.850006,294.850006,5681500
2021-07-20,295.515015,300.029999,291.570007,298.070007,298.070007,5424100
2021-07-21,296.489990,301.829987,296.200012,301.769989,301.769989,5497100
2021-07-22,302.020996,304.570007,301.869995,303.690002,303.690002,3601500
2021-07-23,305.760010,309.475006,304.200012,308.529999,308.529999,4231100
2021-07-26,309.660004,310.160004,305.230011,306.799988,306.799988,3805900
2021-07-27,305.500000,306.339996,294.890015,300.480011,300.480011,6938400
2021-07-28,300.739990,302.429993,296.779999,301.980011,301.980011,9185000
2021-07-29,285.369995,289.000000,281.600006,283.170013,283.170013,18237000
